Date,Open,High,Low,Close,Volume,SMA_20,RSI,MACD,MACD_Signal,MACD_Histogram,Target,Model_Prediction
2025-03-06,233.4226,236.8278,232.1482,234.3088,45170400,238.1124,45.1126,0.2327,1.1091,-0.8764,1,1
2025-03-07,234.0897,240.3226,233.7413,238.0326,46273600,238.4164,50.802,0.2409,0.9354,-0.6946,0,0
2025-03-10,234.5179,235.1352,223.247,226.4929,72071200,238.4214,37.7449,-0.676,0.6131,-1.2892,0,0
2025-03-11,222.8388,224.86,216.5064,219.8817,76137400,238.0823,32.5788,-1.9141,0.1077,-2.0218,0,0
2025-03-12,219.1847,220.7877,213.9774,216.0384,62547500,237.3037,30.0075,-3.1688,-0.5476,-2.6212,0,0
2025-03-13,215.0129,215.899,207.5156,208.7701,61368300,235.9501,25.852,-4.6956,-1.3772,-3.3184,1,1
2025-03-14,210.3333,213.0216,208.6705,212.5636,60107600,234.5542,31.2066,-5.5356,-2.2089,-3.3267,1,1
2025-03-17,212.3843,214.286,209.0588,213.0713,48073400,233.0309,31.9154,-6.0902,-2.9851,-3.1051,0,0
2025-03-18,213.2306,214.2163,210.5722,211.767,42432400,231.4487,31.031,-6.5593,-3.7,-2.8594,1,1
2025-03-19,213.2904,217.8107,212.8224,214.306,54385400,229.9737,34.8174,-6.6496,-4.2899,-2.3597,0,0
2025-03-20,213.0614,216.5462,211.2991,213.1709,48862900,228.3941,33.9208,-6.7351,-4.7789,-1.9562,1,1
2025-03-21,210.6419,217.8903,210.3631,217.3228,94127800,227.036,40.0065,-6.3941,-5.102,-1.2921,1,1
2025-03-24,220.041,220.5189,217.6315,219.7721,44299500,225.7232,43.3227,-5.8587,-5.2533,-0.6054,1,1
2025-03-25,219.812,223.1275,219.125,222.779,34493600,224.5638,47.1826,-5.1326,-5.2292,0.0966,0,0
2025-03-26,222.5401,224.0435,219.5133,220.5687,34466100,223.6263,44.769,-4.6816,-5.1197,0.4381,1,1
2025-03-27,220.4293,224.0137,219.6029,222.8786,37094800,222.9568,47.7756,-4.0906,-4.9138,0.8233,0,0
2025-03-28,220.7081,222.8388,216.7354,216.9544,39818600,221.765,41.5313,-4.0535,-4.7418,0.6883,1,1
2025-03-31,216.0683,224.6409,215.2917,221.1661,65299300,220.9734,46.8498,-3.6423,-4.5219,0.8796,1,1
2025-04-01,218.8561,222.7093,217.9501,222.2215,36412700,220.3392,48.1233,-3.1944,-4.2564,1.062,1,1
2025-04-02,220.3596,224.2128,220.0609,222.9184,35905900,219.7492,48.9924,-2.7515,-3.9554,1.2039,0,0
2025-04-03,204.6481,206.5896,200.3767,202.3083,103419000,218.1492,31.9469,-4.0173,-3.9678,-0.0495,0,0
2025-04-04,193.0486,199.0126,186.5271,187.5625,125910900,215.6257,25.1933,-6.1395,-4.4021,-1.7374,0,0
2025-04-07,176.431,193.3075,173.8622,180.6726,160466300,213.3347,22.771,-8.2818,-5.1781,-3.1038,0,0
2025-04-08,185.8898,189.514,168.4757,171.6718,120859500,210.9242,20.0579,-10.5839,-6.2592,-4.3247,1,1
2025-04-09,171.2038,199.7394,171.1441,197.9871,184395900,210.0216,41.8665,-10.1678,-7.0409,-3.1268,0,0
2025-04-10,188.2495,193.9348,182.2059,189.5937,121880000,209.0628,38.2795,-10.3954,-7.7118,-2.6835,1,1
2025-04-11,185.2924,198.6741,185.2526,197.2901,87435900,208.2991,43.0941,-9.8413,-8.1377,-1.7036,1,1
2025-04-14,210.5224,212.0159,200.2871,201.6412,101352900,207.7276,45.6742,-8.9479,-8.2998,-0.6482,0,0
2025-04-15,200.984,202.6269,198.933,201.2628,51343900,207.2024,45.4811,-8.1762,-8.275,0.0988,0,0
2025-04-16,197.4992,199.8291,191.5352,193.427,59732400,206.1585,41.562,-8.1035,-8.2407,0.1373,1,1
2025-04-17,196.3443,197.9672,193.5763,196.1252,52164700,205.3062,43.3715,-7.7389,-8.1404,0.4015,0,0
2025-04-21,192.4313,192.959,188.9863,192.3218,46742500,204.0561,41.4243,-7.6685,-8.046,0.3775,1,1
2025-04-22,195.2689,200.7152,195.1196,198.8732,52976400,203.0112,45.9276,-7.0033,-7.8375,0.8341,1,1
2025-04-23,205.106,207.0974,201.9199,203.7121,52929200,202.0578,49.0436,-6.0164,-7.4732,1.4569,1,1
2025-04-24,204.0009,207.9238,202.0593,207.4658,47311000,201.4027,51.3841,-4.8751,-6.9536,2.0785,1,1
2025-04-25,205.4745,208.8398,205.3052,208.3718,38222300,200.6774,51.9577,-3.8531,-6.3335,2.4804,1,1
2025-04-28,209.0887,210.5822,206.5597,209.2281,38743100,200.291,52.5277,-2.9402,-5.6548,2.7147,1,1
2025-04-29,207.7844,211.319,207.4658,210.2935,36827600,199.7474,53.2706,-2.1064,-4.9452,2.8387,1,1
2025-04-30,208.3917,212.6532,205.7731,211.5779,52286500,199.2152,54.2012,-1.3268,-4.2215,2.8947,1,1
2025-05-01,208.1727,213.6289,207.9935,212.3943,57365700,198.689,54.8172,-0.6356,-3.5043,2.8687,0,0
2025-05-02,205.1957,206.0918,201.2827,204.4589,101010600,198.7966,48.0527,-0.72,-2.9474,2.2275,0,0
